epoch,eval_accuracy,eval_f1,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.13333333333333333,,,,,,,2.8950035572052,0.0001912888888888889,0.6805770874023438,50,,,,,
0.26666666666666666,,,,,,,1.585385799407959,0.00018240000000000002,0.6424905395507813,100,,,,,
0.4,,,,,,,7.772129535675049,0.00017351111111111112,0.4643556213378906,150,,,,,
0.5333333333333333,,,,,,,6.116128921508789,0.00016462222222222224,0.3556360244750977,200,,,,,
0.6666666666666666,,,,,,,5.203700065612793,0.00015573333333333334,0.3406931686401367,250,,,,,
0.8,,,,,,,4.486721038818359,0.00014684444444444444,0.3619450378417969,300,,,,,
0.9333333333333333,,,,,,,6.297957897186279,0.00013795555555555557,0.39259944915771483,350,,,,,
1.0,0.8612385321100917,0.8697524219590959,0.34361541271209717,0.6164,1414.672,45.425,,,,375,,,,,
1.0666666666666667,,,,,,,1.7440195083618164,0.00012906666666666667,0.31405162811279297,400,,,,,
1.2,,,,,,,3.041565418243408,0.0001201777777777778,0.30812597274780273,450,,,,,
1.3333333333333333,,,,,,,3.291210651397705,0.00011128888888888888,0.31281787872314454,500,,,,,
1.4666666666666668,,,,,,,4.8662495613098145,0.00010240000000000001,0.2951899719238281,550,,,,,
1.6,,,,,,,6.485108375549316,9.351111111111112e-05,0.2781093215942383,600,,,,,
1.7333333333333334,,,,,,,5.562394618988037,8.462222222222222e-05,0.34460250854492186,650,,,,,
1.8666666666666667,,,,,,,5.024658679962158,7.573333333333334e-05,0.30614978790283204,700,,,,,
2.0,,,,,,,3.4240286350250244,6.684444444444445e-05,0.32579631805419923,750,,,,,
2.0,0.8681192660550459,0.8743169398907104,0.2978334426879883,0.6195,1407.489,45.195,,,,750,,,,,
2.1333333333333333,,,,,,,2.242936372756958,5.795555555555556e-05,0.26163501739501954,800,,,,,
2.2666666666666666,,,,,,,1.5492348670959473,4.906666666666667e-05,0.28630264282226564,850,,,,,
2.4,,,,,,,6.272445201873779,4.017777777777778e-05,0.28644641876220706,900,,,,,
2.533333333333333,,,,,,,5.305033206939697,3.128888888888889e-05,0.28609355926513674,950,,,,,
2.6666666666666665,,,,,,,3.8785250186920166,2.2400000000000002e-05,0.3047537422180176,1000,,,,,
2.8,,,,,,,3.139676332473755,1.351111111111111e-05,0.29447086334228517,1050,,,,,
2.9333333333333336,,,,,,,1.9246655702590942,4.622222222222222e-06,0.298005485534668,1100,,,,,
3.0,0.8738532110091743,0.8791208791208791,0.2873133718967438,0.619,1408.612,45.231,,,,1125,,,,,
3.0,,,,,,,,,,1125,326396287886592.0,0.34906138695610894,40.2388,447.329,27.958
3.0,0.8738532110091743,0.8791208791208791,0.2873133718967438,0.5815,1499.531,48.15,,,,1125,,,,,
