epoch,eval_accuracy,eval_f1,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.21739130434782608,,,,,,,1.6375019550323486,0.00018579710144927538,0.8318236541748046,50,,,,,
0.43478260869565216,,,,,,,4.031030654907227,0.00017130434782608697,0.7141248321533203,100,,,,,
0.6521739130434783,,,,,,,8.592047691345215,0.00015681159420289856,0.6271483612060547,150,,,,,
0.8695652173913043,,,,,,,2.874018907546997,0.00014231884057971014,0.6280694961547851,200,,,,,
1.0,0.6838235294117647,0.8122270742358079,0.6315538287162781,0.4932,827.241,26.358,,,,230,,,,,
1.0869565217391304,,,,,,,1.8515089750289917,0.00012782608695652173,0.6362699127197265,250,,,,,
1.3043478260869565,,,,,,,1.491766333580017,0.00011333333333333334,0.6209399795532227,300,,,,,
1.5217391304347827,,,,,,,6.935881614685059,9.884057971014493e-05,0.6482476806640625,350,,,,,
1.7391304347826086,,,,,,,5.925973892211914,8.434782608695653e-05,0.6246603775024414,400,,,,,
1.9565217391304348,,,,,,,4.4981842041015625,6.985507246376813e-05,0.6354731369018555,450,,,,,
2.0,0.6838235294117647,0.8122270742358079,0.6200643181800842,0.4981,819.038,26.097,,,,460,,,,,
2.1739130434782608,,,,,,,1.7750136852264404,5.536231884057971e-05,0.6308409500122071,500,,,,,
2.391304347826087,,,,,,,3.5195376873016357,4.086956521739131e-05,0.61874267578125,550,,,,,
2.608695652173913,,,,,,,4.098666667938232,2.63768115942029e-05,0.6343252944946289,600,,,,,
2.8260869565217392,,,,,,,5.9179911613464355,1.1884057971014494e-05,0.6309980010986328,650,,,,,
3.0,0.6838235294117647,0.8122270742358079,0.6181609630584717,0.4968,821.195,26.166,,,,690,,,,,
3.0,,,,,,,,,,690,430061571158688.0,0.6519667943318684,46.2959,237.688,14.904
3.0,0.6838235294117647,0.8122270742358079,0.6181609630584717,0.4872,837.464,26.684,,,,690,,,,,
